scale,p_FC,p_KO,lambda,num_test_slices,model,N,rrmse_mean,rrmse_std
64x64,7864320,1920,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,ko,—,0.117434,0.020535
64x64,7864320,1920,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,4,0.180758,0.001169
64x64,7864320,1920,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,16,0.146624,0.003695
64x64,7864320,1920,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,64,0.109807,0.002123
64x64,7864320,1920,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,256,0.086699,0.000384
64x64,7864320,1920,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,1024,0.069040,0.000343
64x64,7864320,1920,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,2048,0.060272,0.001314
128x128,125829120,7680,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,ko,—,0.054978,0.009457
128x128,125829120,7680,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,4,0.184608,0.001010
128x128,125829120,7680,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,16,0.142722,0.005204
128x128,125829120,7680,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,64,0.098154,0.001660
128x128,125829120,7680,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,256,0.073368,0.000380
128x128,125829120,7680,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,1024,0.056442,0.000081
128x128,125829120,7680,"λ ∈ [0.0001, 0.01, 1.0, 100.0, 10000.0], seeds [1, 2, 3]",50,fc_ridge,2048,0.049611,0.000256
