scale,model,N,rrmse_mean,rrmse_std,p_param
256,known_operator,4,0.068063,0.000343,23040
256,known_operator,16,0.052756,0.000180,23040
256,known_operator,64,0.050938,0.001123,23040
256,known_operator,256,0.050700,0.001007,23040
256,known_operator,1024,0.050771,0.000731,23040
256,fully_connected_ridge,4,0.187003,0.000649,1509949440
256,fully_connected_ridge,16,0.146640,0.005422,1509949440
256,fully_connected_ridge,64,0.100173,0.001859,1509949440
256,fully_connected_ridge,256,0.070858,0.000536,1509949440
256,fully_connected_ridge,1024,0.049885,0.000022,1509949440
256,fully_connected_ridge,2048,0.042417,0.000206,1509949440
